Qual o seu sexo,Estado civil,Voce mora,Qualidade,Classificacao  indicacao  comentarios satisfacao de outros clientes,Confianca  em relacao a marca ou servico,Facilidade  para ser adquirido ou contratado tal como usabilidade,Especificacoes do produto servico  comparacoes ,O nivel de confianca popularidade da loja influencia na decisao de compra de algum produto servico,Ja adquiriu algum produto servico defeituoso,Ja foi prejudicado ao adquirir algum produto servico da intenet,Ja comprou produto servico pelas lojas de redes sociais  ex  instagram facebook,Ja comprou por sites de desapego  ex  olx,Prefere comprar online,Utiliza aplicativos para realizar compras    dispositivos moveis ,Qual o meio de pagamento voce prefere mais utiliza ,Leva em consideracao o prazo de entrega ,Utiliza algum servico de backup ,Utiliza algum aplicativo para realizar transacoes bancarias ou efetuar pagamentos,Ja comprou algum curso online ,Ja contratou algum servico de manutencao ou instalacao pela internet ,Usa algum servico de delivery   pedido de lanches alimentos  mesmo que por meio de redes sociais 
True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True
True,False,True,True,False,True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False
True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True
False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,False,True
True,True,True,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,False,False
True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True
True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True,False,False,True
True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True,False,False,True
False,False,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True
False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True
False,True,True,True,True,True,True,False,True,True,False,True,False,True,False,True,True,False,False,True,True,True
True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False
True,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,False,False,False,True,False,True
True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,True
False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False
False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True,False,False,True
False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,True
False,False,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,False
False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,True
True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False
True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,True,True,False,True
False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False
True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True
False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True
False,True,True,False,True,True,True,True,True,False,False,False,False,True,True,True,False,True,False,True,False,True
False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True
True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,True,False,False,False
True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False
False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True
True,False,True,True,True,False,True,True,True,False,True,True,False,True,False,True,True,False,True,True,True,True
False,True,True,True,False,True,False,True,True,True,True,True,False,True,True,False,True,True,False,False,True,False
False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True,True,False,False,False,True
False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True
False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True
